eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
199001300001,Jordan,31.950001,35.933331,0.0,,Government (Diplomatic),Unknown
199101000002,Guatemala,16.633333,-90.183333,0.0,,Private Citizens & Property,Guatemalan National Revolutionary Unity (URNG)
199101000003,Philippines,17.795745,121.322798,8.0,,Military,New People's Army (NPA)
199101010001,Colombia,3.88182,-77.07042,0.0,,Utilities,Simon Bolivar Guerrilla Coordinating Board (CGSB)
199101010002,Colombia,3.88182,-77.07042,0.0,,Private Citizens & Property,Simon Bolivar Guerrilla Coordinating Board (CGSB)
199101010003,Colombia,6.242026,-75.564766,2.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101010004,Colombia,3.68415,-76.31235,1.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101010005,Colombia,10.63213,-74.92172,1.0,,Police,Unknown
199101010006,Colombia,7.32234,-73.01493,2.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101010007,Colombia,0.42529,-76.90507,7.0,,Military,Revolutionary Armed Forces of Colombia (FARC)
199101010008,Colombia,3.88182,-77.07042,5.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101010009,Peru,-15.433661,-74.617006,2.0,,Private Citizens & Property,Shining Path (SL)
199101010010,Colombia,7.99221,-76.63719,2.0,,Police,Unknown
199101020001,Colombia,0.435951,-75.52767,0.0,,Utilities,Revolutionary Armed Forces of Colombia (FARC)
199101020002,Colombia,2.95485,-76.26825,15.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020003,Colombia,7.491752,-74.868183,4.0,,Military,Revolutionary Armed Forces of Colombia (FARC)
199101020004,Colombia,11.354774,-72.520483,0.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020005,Colombia,5.45394,-73.36205,0.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020006,Colombia,11.01079,-74.25162,12.0,,Police,Simon Bolivar Guerrilla Coordinating Board (CGSB)
199101020007,Colombia,6.2675,-75.568611,0.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020008,Colombia,6.643708,-73.653621,0.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020009,Colombia,6.547306,-71.002231,0.0,,Police,Revolutionary Armed Forces of Colombia (FARC)
199101020010,El Salvador,13.557072,-88.349433,3.0,,Military,Farabundo Marti National Liberation Front (FMLN)
199101020012,Sri Lanka,9.518485,80.406057,0.0,,Military,Liberation Tigers of Tamil Eelam (LTTE)
199101020013,Sri Lanka,9.815254,80.037053,0.0,,Military,Liberation Tigers of Tamil Eelam (LTTE)
199101020014,El Salvador,13.69288,-89.199161,3.0,,Military,Farabundo Marti National Liberation Front (FMLN)
199101030001,France,42.600348,8.829121,0.0,,Private Citizens & Property,Corsican National Liberation Front- Historic Channel
199101030002,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030003,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030004,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030005,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030006,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030007,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
199101030008,France,42.113828,8.701548,0.0,,Business,Corsican National Liberation Front- Historic Channel
