iyear,imonth,iday,latitude,longitude,eventid
2003,1,1,43.239931,46.006981,200301010001
2003,1,1,0.280373,-76.926854,200301010002
2003,1,1,0.280373,-76.926854,200301010003
2003,1,1,0.280373,-76.926854,200301010004
2003,1,1,0.280373,-76.926854,200301010005
2003,1,1,0.280373,-76.926854,200301010006
2003,1,1,0.280373,-76.926854,200301010007
2003,1,1,0.280373,-76.926854,200301010008
2003,1,1,0.280373,-76.926854,200301010009
2003,1,1,0.280373,-76.926854,200301010010
2003,1,1,0.280373,-76.926854,200301010011
2003,1,1,0.280373,-76.926854,200301010012
2003,1,1,27.237575,85.152416,200301010013
2003,1,1,6.697343,125.082779,200301010014
2003,1,1,-2.528781,140.713463,200301010015
2003,1,1,42.001804,-80.315408,200301010016
2003,1,2,2.772404,32.288073,200301020001
2003,1,2,2.772404,32.288073,200301020002
2003,1,2,17.571202,80.102984,200301020003
2003,1,2,34.016075,75.31498,200301020004
2003,1,2,31.278791,34.256435,200301020005
2003,1,3,48.856644,2.34233,200301030001
2003,1,3,23.231749,91.559612,200301030002
2003,1,3,33.436221,69.031746,200301030003
2003,1,3,33.35,69.983333,200301030004
2003,1,3,16.614143,79.936311,200301030005
2003,1,3,18.22236,78.605883,200301030006
2003,1,3,18.511984,80.065124,200301030007
2003,1,3,17.853241,79.373979,200301030008
2003,1,3,2.684235,32.655625,200301030009
2003,1,3,27.708754,85.329498,200301030010
2003,1,3,52.366667,4.783333,200301030011
2003,1,4,35.870833,2.028889,200301040001
2003,1,4,35.519444,-0.408333,200301040002
2003,1,4,-8.925,125.375833,200301040003
2003,1,4,42.61201,20.364962,200301040004
2003,1,4,6.333333,124.95,200301040006
2003,1,5,32.08297,34.811886,200301050001
2003,1,5,42.880888,20.867213,200301050002
2003,1,5,33.64542,75.019676,200301050003
2003,1,5,16.686167,79.941782,200301050004
2003,1,5,6.637796,124.599145,200301050005
2003,1,5,36.897469,7.428019,200301050006
2003,1,5,36.166333,1.333551,200301050007
2003,1,5,34.006004,71.53743,200301050008
2003,1,6,34.08374,74.789902,200301060001
2003,1,6,48.856644,2.34233,200301060002
2003,1,6,43.818406,7.778422,200301060003
2003,1,6,3.585242,98.675598,200301060004
2003,1,6,31.631083,65.742226,200301060005
2003,1,7,36.716365,4.049834,200301070001
2003,1,7,4.667128,-74.106056,200301070002
2003,1,7,43.299012,44.898869,200301070003
2003,1,7,36.166333,1.333551,200301070004
2003,1,7,18.024283,-94.678171,200301070006
2003,1,7,4.74386,-74.5337,200301070007
2003,1,8,54.607712,-5.95621,200301080001
2003,1,8,6.217814,125.065915,200301080002
2003,1,8,7.027345,-71.428555,200301080003
2003,1,8,10.841391,123.498609,200301080004
2003,1,9,6.792231,-71.775544,200301090001
2003,1,9,34.225807,74.641022,200301090002
2003,1,9,34.448698,74.662732,200301090003
2003,1,9,14.8,-89.55,200301090005
2003,1,9,35.55,6.166667,200301090006
2003,1,10,33.767001,74.092404,200301100001
2003,1,10,8.228021,124.245242,200301100002
2003,1,10,33.389053,74.314021,200301100003
2003,1,10,49.96549,16.970054,200301100004
2003,1,10,43.127544,45.539974,200301100005
2003,1,10,43.314928,46.228384,200301100006
2003,1,10,43.320229,45.654491,200301100007
2003,1,10,39.776667,30.520556,200301100008
2003,1,10,34.205605,74.353867,200301100009
2003,1,11,27.708754,85.329498,200301110001
2003,1,11,-1.28518,36.821107,200301110002
2003,1,11,31.502407,34.459743,200301110003
2003,1,11,2.761837,33.309328,200301110004
2003,1,11,6.46052,-71.72989,200301110005
2003,1,11,-3.0,120.2,200301110006
2003,1,11,17.942675,82.04757,200301110008
2003,1,11,16.593801,79.737422,200301110009
2003,1,12,6.37696,-71.71833,200301120001
2003,1,12,14.622869,-90.529068,200301120002
2003,1,12,43.141187,46.081114,200301120003
2003,1,12,14.485967,78.161951,200301120004
2003,1,12,14.485967,78.161951,200301120005
2003,1,12,31.502407,34.459743,200301120006
2003,1,12,32.222271,35.253506,200301120007
2003,1,13,2.79759,44.080367,200301130002
2003,1,13,33.638889,74.44,200301130003
2003,1,13,42.699997,9.447317,200301130004
2003,1,13,42.749323,9.423398,200301130005
2003,1,13,8.496142,76.943725,200301130006
2003,1,13,35.181446,136.906398,200301130007
2003,1,13,13.192288,123.59917,200301130008
2003,1,14,34.08374,74.789902,200301140001
2003,1,14,16.450018,120.57759,200301140002
2003,1,14,34.952621,72.331113,200301140003
2003,1,14,-3.648426,128.16576,200301140004
2003,1,14,7.905643,122.529809,200301140005
2003,1,15,7.825203,123.437378,200301150001
2003,1,15,24.891115,67.143311,200301150002
2003,1,15,7.198606,-75.341218,200301150003
2003,1,15,34.205605,74.353867,200301150004
2003,1,15,22.636352,110.165112,200301150005
2003,1,15,35.407139,8.120864,200301150006
2003,1,16,6.242026,-75.564766,200301160001
2003,1,16,34.297985,74.615303,200301160002
2003,1,16,4.837712,-75.66807,200301160003
2003,1,16,4.99243,-76.01866,200301160004
2003,1,16,4.714444,-75.795833,200301160005
2003,1,16,20.951666,85.098524,200301160006
2003,1,16,42.666912,41.853264,200301160007
2003,1,16,41.918891,8.737554,200301160008
2003,1,16,41.918891,8.737554,200301160009
2003,1,16,42.699997,9.447317,200301160010
2003,1,16,27.66897,85.319824,200301160011
2003,1,16,-1.28518,36.821107,200301160012
2003,1,17,31.529283,35.115543,200301170001
2003,1,17,31.573713,34.489043,200301170002
2003,1,17,28.611176,83.50702,200301170003
2003,1,18,3.27199,-73.087749,200301180002
2003,1,18,36.878312,4.007625,200301180003
2003,1,19,33.64542,75.019676,200301190001
2003,1,19,43.320229,45.654491,200301190002
2003,1,19,42.68,21.044444,200301190003
2003,1,20,9.74704,-74.81537,200301200001
2003,1,20,-17.830493,30.912954,200301200002
2003,1,20,26.1851,93.581849,200301200003
2003,1,20,34.205605,74.353867,200301200004
2003,1,20,6.242026,-75.564766,200301200005
2003,1,20,18.303802,83.328549,200301200006
2003,1,20,16.879132,78.46631,200301200007
2003,1,20,47.610786,-122.331306,200301200008
2003,1,21,29.347702,47.94912,200301210001
2003,1,21,6.46052,-71.72989,200301210002
2003,1,21,25.010921,80.485487,200301210003
2003,1,22,54.607712,-5.95621,200301220001
2003,1,22,42.659809,20.307119,200301220002
2003,1,22,21.291422,99.606854,200301220003
2003,1,22,15.7118,121.1061,200301220004
2003,1,23,34.767228,72.376782,200301230001
2003,1,23,54.607712,-5.95621,200301230002
2003,1,23,7.08582,-70.75779,200301230003
2003,1,23,31.530243,35.094162,200301230004
2003,1,23,43.3,45.866667,200301230005
2003,1,23,34.606944,74.371944,200301230006
2003,1,23,36.724419,3.619247,200301230007
2003,1,23,36.480453,2.83388,200301230008
2003,1,24,33.778175,76.576171,200301240001
2003,1,24,12.503525,124.637103,200301240002
2003,1,24,24.663717,93.906269,200301240003
2003,1,24,7.209594,124.241966,200301240004
2003,1,25,33.863243,75.284813,200301250001
2003,1,25,42.65548,45.85454,200301250002
2003,1,25,16.690933,79.567945,200301250003
2003,1,25,16.387372,79.292838,200301250004
