eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
197300000001,Colombia,,,0.0,,Business,National Liberation Army of Colombia (ELN)
197301010001,Ireland,55.068445,-7.355583,2.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197301020001,Dominican Republic,19.45,-70.7,0.0,,Private Citizens & Property,Red June of 14 June
197301020003,United Kingdom,54.595455,-5.797763,1.0,,Private Citizens & Property,Protestant extremists
197301020004,United States,40.697132,-73.931351,1.0,,Private Citizens & Property,Black Liberation Army
197301040001,United Kingdom,54.892986,-7.020812,1.0,,Military,Irish Republican Army (IRA)
197301050001,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197301060001,Colombia,8.312931,-75.142561,,,Business,Popular Liberation Army (EPL)
197301070001,Greece,37.99749,23.762728,0.0,,Government (General),Unknown
197301070002,Greece,37.99749,23.762728,0.0,,Private Citizens & Property,Unknown
197301070003,United States,29.954649,-90.074975,8.0,"1/7/1973:  Mark Essex, a Black Revolutionary, broke into the Downtown Howard Johnson Hotel in New Orleans, Louisiana in the United States. He proceeded to shoot and kill Robert and Elizabeth Steagall, a White couple staying in the hotel. Essex then doused a telephone book with lighter fluid and set the Steagalls' room on fire. Noticing the commotion, Essex was approached by Frank Schneider and Sherwood Collins, the assistant manager and general manager of the hotel respectively. Essex shot and killed both managers in two separate incidents. Essex then lit more hotel rooms on fire. At this point, Essex began shooting at the policemen and firemen that approached the hotel. He shot and killed Deputy Super Intendent Louis Sirgo, Patrolman Pail Persigo and Patrolman Philip J. Coleman Sr. Twenty  others were wounded as well. Finally, the police were able to force Essex to the roof of the building. The incident did not end until Essex was shot and killed by sharpshooters positioned in a military helicopter hovering above the hotel.",Police,Republic of New Afrika
197301080001,Colombia,7.59417,-74.8119,,,Business,National Liberation Army of Colombia (ELN)
197301080002,France,48.856644,2.34233,0.0,,Other,Black September
197301100001,West Germany (FRG),50.11797,8.644191,0.0,,Government (General),Unknown
197301110001,West Germany (FRG),49.4447,7.769004,1.0,,Business,Popular Front for the Liberation of Palestine (PFLP)
197301140001,Austria,48.208174,16.373819,0.0,,Other,Black September
197301140003,United Kingdom,55.011562,-7.312045,2.0,,Police,Irish Republican Army (IRA)
197301140004,United Kingdom,54.542956,-6.926293,1.0,,Police,Irish Republican Army (IRA)
197301160001,Spain,42.815372,-1.653616,0.0,,Private Citizens & Property,Basque Fatherland and Freedom (ETA)
197301160002,Argentina,-31.399301,-64.182129,0.0,,Government (General),Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
197301170001,Italy,43.627726,10.291712,0.0,,Military,Unknown
197301170002,Lebanon,33.888523,35.503513,0.0,,Educational Institution,Unknown
197301180001,United Kingdom,54.607712,-5.95621,1.0,,Military,Irish Republican Army (IRA)
197301180003,United States,38.908642,-77.015381,7.0,"01/18/1973: Suspected Black Muslims murdered seven people (two adults and five children) and wounded two other adults through a combination of binding, gagging, drowning, and shooting in Washington, D.C. in the United States. The targets were Khalifa Hamaas Abdul Khaalis and his family members. Khalifa Hamaas Abdul Khaalis was a Hanafi Muslim leader who, according to the Hanafi, accused Black Muslim leader Elijah Muhammad of teaching false doctrines about Islam.",Religious Figures/Institutions,Black Muslims
197301180004,United States,38.26386,-104.612374,0.0,"01/18/1973: Unknown assailant(s) threw two molotov cocktails through the window of a police community relations center in Pueblo, Colorado in the United States. It is unknown whether there were any casualties or property damage in this incident.",Police,Unknown
197301190001,Spain,41.400635,2.150913,,,Business,Iberian Liberation Movement (MIL)
197301200001,Ireland,53.361675,-6.245485,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197301220001,Argentina,-34.68631,-58.528473,1.0,,Private Citizens & Property,Revolutionary Armed Forces- Argentina (FAR-A)
197301220002,United States,38.89086,-90.183834,0.0,"01/22/1973: Unknown perpetrator(s) threw a molotov cocktail at the outer wall of a police station in Alton, Illinois in the United States. It is unknown whether there were any casualties or property damage in this incident.",Police,Unknown
197301230001,Haiti,18.527716,-72.33284,0.0,,Government (Diplomatic),Coalition of National Brigades
197301230002,Ethiopia,15.027339,39.782691,0.0,,Business,Eritrean Liberation Front
197301240001,Iran,35.724533,51.40519,0.0,,Airports & Aircraft,Mujahedin-e Khalq (MEK)
197301250001,United States,40.697132,-73.931351,2.0,,Police,Black Liberation Army
197301250003,Iran,38.011123,46.455958,,,Business,Unknown
197301260001,Spain,40.465595,-3.696263,1.0,,Government (General),Black September
197301270001,United States,34.097866,-118.407379,2.0,,Government (Diplomatic),Armenians
197301270002,Iran,35.724533,51.40519,,,Business,Unknown
197301270003,Spain,41.400635,2.150913,,,Business,Iberian Liberation Movement (MIL)
197301280001,United States,40.697132,-73.931351,2.0,,Police,Black Liberation Army
197301280002,France,48.856644,2.34233,0.0,,Business,International Revolutionary Action Group (GARI)
197301290001,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197301290002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197301300001,United Kingdom,54.607712,-5.95621,1.0,,Terrorists/Non-State Militia,Irish Republican Army (IRA)
197301310002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197301310003,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197302010001,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197302010002,United Kingdom,54.819164,-7.467909,1.0,,Military,Irish Republican Army (IRA)
197302020001,Argentina,,,1.0,,Military,Unknown
197302020002,Greece,37.99749,23.762728,0.0,,Military,Unknown
197302020003,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Irish Republican Army (IRA)
197302020004,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197302020005,United Kingdom,54.607712,-5.95621,1.0,,Terrorists/Non-State Militia,Unknown
197302030002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197302030003,United Kingdom,54.607712,-5.95621,2.0,,Terrorists/Non-State Militia,Protestant extremists
197302040001,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Protestant extremists
197302040002,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Volunteer Force (UVF)
197302040003,United Kingdom,54.607712,-5.95621,1.0,,Military,Ulster Volunteer Force (UVF)
197302050001,Argentina,-34.61768,-58.444435,0.0,,Government (Diplomatic),Unknown
197302050002,United Kingdom,54.463367,-6.328597,1.0,,Military,Irish Republican Army (IRA)
197302060001,United Kingdom,54.607712,-5.95621,1.0,,Military,Irish Republican Army (IRA)
197302070001,United Kingdom,54.607712,-5.95621,1.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
197302070002,United Kingdom,54.607712,-5.95621,1.0,,Terrorists/Non-State Militia,Irish Republican Army (IRA)
197302080001,United Kingdom,54.50853,-6.763131,1.0,,Police,Irish Republican Army (IRA)
197302090001,Jordan,31.950001,35.933331,,,Government (Diplomatic),Black September
197302090002,United States,40.697132,-73.931351,0.0,,Business,Black Liberation Army
197302100001,United Kingdom,54.371772,-5.555976,2.0,,Terrorists/Non-State Militia,Irish Republican Army (IRA)
197302140001,Argentina,-34.61768,-58.444435,1.0,,Private Citizens & Property,Unknown
197302140002,United Kingdom,54.607712,-5.95621,1.0,,Military,Irish Republican Army (IRA)
197302150001,United States,40.697132,-73.931351,0.0,02/16/1973: Suspected members of  the Armed Revolutionary Independence Movement (MIRA) placed an incendiary device in a raincoat display in the mezzanine of Alexander's Department store in New York City in the United States. The device was removed by two members of the NYC Police bomb squad before the device was set off. There was no damage to the store or to merchandise.,Business,Armed Revolutionary Independence Movement (MIRA)
