eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
199401000001,United States,46.58976,-112.021204,0.0,"1/0/1994: John Casserly set trees on fire that were located outside of the Intermountain Planned Parenthood in Helena, Montana, United States. The fire did not spread to the abortion facility, but some evergreen trees were damaged.",Abortion Related,Anti-Abortion extremists
199401010001,Mexico,17.65,-92.6,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010002,Mexico,16.774267,-92.131259,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010003,Mexico,16.3119,-91.98028,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010004,Mexico,18.34775,-100.654153,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010005,Mexico,16.90639,-92.09374,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010006,Mexico,16.738601,-92.633229,57.0,,Private Citizens & Property,Zapatista National Liberation Army
199401010007,Mexico,16.667392,-92.564953,0.0,,Military,Zapatista National Liberation Army
199401010008,Somalia,3.115641,43.64658,1.0,,Government (Diplomatic),Unknown
199401010009,South Africa,-29.861824,31.008293,0.0,,Transportation,Unknown
199401010010,Sweden,59.332788,18.064488,0.0,,Government (General),Unknown
199401010011,Thailand,6.190088,101.797961,0.0,,Transportation,Unknown
199401010012,Turkey,39.920043,44.043507,1.0,,Police,Kurdistan Workers' Party (PKK)
199401010013,Turkey,38.109458,40.567051,8.0,,Transportation,Kurdistan Workers' Party (PKK)
199401010014,Belgium,50.836426,4.367415,,,Private Citizens & Property,Anti-Kurdish Turks
199401010015,Germany,53.074981,8.807081,0.0,,Police,Neo-Nazi extremists
199401010016,Germany,53.404954,9.7024,0.0,,Private Citizens & Property,Neo-Nazi extremists
199401010017,Germany,48.879923,12.570274,0.0,,Business,Unknown
199401010018,West Bank and Gaza Strip,31.502407,34.459743,,,Military,Hamas (Islamic Resistance Movement)
199401010019,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010020,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010021,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010022,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010023,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010024,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010025,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010026,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010027,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010028,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401010029,Tajikistan,,,15.0,,NGO,Unknown
199401020001,United Kingdom,54.607712,-5.95621,0.0,,Government (General),Unknown
199401020002,Peru,-9.94069,-76.241065,0.0,,Religious Figures/Institutions,Shining Path (SL)
199401020003,Turkey,37.922218,40.184376,0.0,,Business,Kurdistan Workers' Party (PKK)
199401020004,Belgium,50.836426,4.367415,,,Private Citizens & Property,Anti-Kurdish Turks
199401020005,Chad,,,1.0,,Tourists,Unknown
199401020006,India,33.778175,76.576171,4.0,,Police,Unknown
199401020007,Kuwait,29.617631,48.150556,0.0,,Military,Unknown
199401030001,Peru,-12.642078,-74.863074,1.0,,Private Citizens & Property,Shining Path (SL)
199401030002,Turkey,37.415668,41.371505,1.0,,Private Citizens & Property,Kurdistan Workers' Party (PKK)
199401030003,Yemen,15.174203,44.483566,0.0,,Business,Unknown
199401030004,Algeria,35.961111,0.918889,1.0,,Government (General),Unknown
199401030005,Cameroon,12.673727,14.284159,12.0,,Transportation,Kotoko Tribal Group
199401030006,Cyprus,35.106523,32.888111,0.0,,Military,Unknown
199401030007,Guinea,8.84853,-9.630092,0.0,,Private Citizens & Property,United Liberation Movement for Democracy in Liberia (ULIMO)
199401030008,West Bank and Gaza Strip,31.502407,34.459743,1.0,,Military,Hamas (Islamic Resistance Movement)
199401030009,West Bank and Gaza Strip,31.537834,34.489532,1.0,,Military,Hamas (Islamic Resistance Movement)
199401040001,Peru,-9.484519,-77.513953,3.0,,Private Citizens & Property,Shining Path (SL)
199401040002,Peru,-5.988152,-79.74739,2.0,,Terrorists/Non-State Militia,Shining Path (SL)
199401040003,Peru,-6.776597,-79.844298,1.0,,Terrorists/Non-State Militia,Shining Path (SL)
199401040004,Russia,59.853371,30.348433,0.0,,Business,Unknown
199401040005,Turkey,37.248935,42.470654,1.0,,Military,Kurdistan Workers' Party (PKK)
199401040006,Turkey,37.192877,40.581143,1.0,,Military,Kurdistan Workers' Party (PKK)
199401040007,Turkey,37.885793,41.130124,1.0,,Private Citizens & Property,Kurdistan Workers' Party (PKK)
199401040008,Turkey,40.550769,34.951899,1.0,,Violent Political Party,Unknown
199401040009,Algeria,35.696944,-0.633056,6.0,,Police,Islamic Salvation Front (FIS)
199401040010,Ireland,53.361675,-6.245485,,,Government (General),Ulster Volunteer Force (UVF)
199401050001,Mexico,18.466667,-97.4,0.0,,Utilities,Zapatista National Liberation Army
199401050002,Togo,6.172553,1.231572,26.0,,Government (General),Togolese Dissidents
199401050003,Togo,6.172553,1.231572,0.0,,Military,Togolese Dissidents
199401050004,Turkey,37.522653,42.452637,15.0,,Military,Kurdistan Workers' Party (PKK)
199401050005,Guatemala,14.533333,-91.5,0.0,,Business,Unknown
199401050006,West Bank and Gaza Strip,31.537834,34.489532,1.0,,Military,Palestinians
199401060001,Mexico,19.041297,-98.2062,0.0,,Utilities,Zapatista National Liberation Army
199401060002,Mexico,19.41362,-102.05278,0.0,,Utilities,Zapatista National Liberation Army
199401060006,United Kingdom,54.607712,-5.95621,0.0,,Military,Irish Republican Army (IRA)
199401060007,United Kingdom,54.607712,-5.95621,0.0,,Private Citizens & Property,Ulster Freedom Fighters (UFF)
199401060008,United Kingdom,54.607712,-5.95621,0.0,,Military,Irish Republican Army (IRA)
199401060009,Peru,-11.967368,-76.978462,0.0,,Business,Tupac Amaru Revolutionary Movement (MRTA)
199401060010,Togo,6.172553,1.231572,12.0,,Military,Unknown
199401060011,Turkey,37.358054,39.154514,6.0,,Military,Kurdistan Workers' Party (PKK)
199401060012,Turkey,37.33083,42.184602,3.0,,Military,Kurdistan Workers' Party (PKK)
199401060013,Turkey,37.312903,40.733951,17.0,,Military,Kurdistan Workers' Party (PKK)
199401060014,Yemen,13.178143,44.632399,5.0,,Military,Unknown
199401060015,Algeria,36.266667,1.966667,3.0,,Government (General),Islamic Salvation Front (FIS)
199401060016,Guatemala,14.622869,-90.529068,0.0,,Business,Unknown
199401060017,Israel,31.771599,35.2034,1.0,,Military,Palestinians
199401060018,United States,40.697132,-73.931351,0.0,"1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing many left-wing Jewish organizations in Manhattan, New York, United States. The bomb failed to detonate due to a faulty timer. It was subsequently discovered and disarmed by the police.",Private Citizens & Property,Maccabee Squad and the Shield of David
199401060019,United States,40.697132,-73.931351,0.0,"1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing the New Israel Fund in Manhattan, New York, United States. The bomb failed to detonate due to a faulty timer. It was subsequently discovered and disarmed by the police.",Private Citizens & Property,Maccabee Squad and the Shield of David
199401070001,United Kingdom,54.607712,-5.95621,0.0,,Police,Irish Republican Army (IRA)
199401070002,South Africa,-26.363175,28.15222,1.0,,Private Citizens & Property,Unknown
199401070003,South Africa,-26.353159,28.132727,1.0,,Private Citizens & Property,Unknown
199401070004,Turkey,39.307355,39.438778,5.0,,Military,Kurdistan Workers' Party (PKK)
199401070005,Turkey,41.106178,28.689863,0.0,,Business,Unknown
199401070006,Turkey,41.106178,28.689863,0.0,,Business,Unknown
199401070007,Yemen,15.325443,44.211895,1.0,,Government (General),Unknown
199401070008,Algeria,34.883333,-0.55,1.0,,Private Citizens & Property,Islamic Salvation Front (FIS)
199401070009,Algeria,35.37849,1.32569,1.0,,Government (General),Islam Liberation Front
199401070010,Algeria,36.266667,1.966667,1.0,,Religious Figures/Institutions,Islamic Salvation Front (FIS)
199401070011,Algeria,34.883333,-0.55,0.0,,Educational Institution,Islamic Salvation Front (FIS)
199401070012,Angola,-5.393445,12.20633,0.0,,Business,Front for the Liberation of the Enclave of Cabinda (FLEC)
199401070013,Colombia,5.08414,-75.7903,2.0,,Tourists,National Liberation Army of Colombia (ELN)
199401080001,Mexico,16.863443,-99.881597,0.0,,Government (General),Unknown
199401080002,Mexico,19.371887,-99.086624,0.0,,Private Citizens & Property,Zapatista National Liberation Army
199401080003,Mexico,19.479444,-99.238333,0.0,,Military,Unknown
199401080004,Mexico,19.672129,-99.180965,0.0,,Utilities,Unknown
199401080006,United Kingdom,54.607712,-5.95621,0.0,,Business,Ulster Freedom Fighters (UFF)
199401080007,Pakistan,24.891115,67.143311,0.0,,Government (General),Unknown
199401080008,Algeria,36.763763,3.055413,2.0,,Police,Islamic Salvation Front (FIS)
199401080009,Algeria,36.76708,8.314899,3.0,,Government (General),Islamic Salvation Front (FIS)
199401080010,Algeria,36.79885,6.15721,1.0,,Government (General),Islamic Salvation Front (FIS)
199401080011,Algeria,35.37849,1.32569,1.0,,Government (General),Islamic Salvation Front (FIS)
199401080012,Algeria,36.480453,2.83388,1.0,,Unknown,Islamic Salvation Front (FIS)
199401090001,South Africa,-26.363175,28.15222,1.0,,Violent Political Party,Unknown
199401090002,Turkey,37.338073,41.746134,0.0,,Religious Figures/Institutions,Kurdistan Workers' Party (PKK)
199401090003,Turkey,37.33083,42.184602,5.0,,Private Citizens & Property,Kaka-Tribesmen
199401090004,Yemen,12.852693,44.894836,0.0,,Government (General),Unknown
199401090005,Algeria,36.763763,3.055413,0.0,,Journalists & Media,Islamic Salvation Front (FIS)
199401090006,Guatemala,14.622869,-90.529068,0.0,,Business,Unknown
199401090007,Guatemala,14.622869,-90.529068,0.0,,Government (Diplomatic),Unknown
199401090008,India,33.874027,74.901505,9.0,,Military,Kashmiri extremists
199401090009,Iran,35.724533,51.40519,0.0,,Government (Diplomatic),Unknown
199401100001,United Kingdom,54.077313,-6.608787,0.0,,Military,Irish Republican Army (IRA)
199401100002,United Kingdom,54.607712,-5.95621,1.0,,Religious Figures/Institutions,Ulster Freedom Fighters (UFF)
199401100003,United Kingdom,54.607712,-5.95621,0.0,,Private Citizens & Property,Unknown
199401100004,United Kingdom,54.787715,-6.492314,0.0,,Military,Unknown
199401100006,Somalia,2.059819,45.326115,0.0,,Government (Diplomatic),Unknown
199401100007,Thailand,18.790977,98.960776,1.0,,Police,Unknown
199401100008,Turkey,37.885793,41.130124,1.0,,Police,Kurdistan Workers' Party (PKK)
199401100009,Cambodia,13.344637,103.847055,3.0,,Business,Khmer Rouge
199401100010,Egypt,27.181122,31.179426,2.0,,Police,Al-Gama'at al-Islamiyya (IG)
199401100011,El Salvador,13.58844,-89.236283,2.0,,Terrorists/Non-State Militia,Death Squad
199401100012,Germany,52.50153,13.401851,0.0,,Private Citizens & Property,Neo-Nazi extremists
199401100013,West Bank and Gaza Strip,31.995965,35.27111,,,Journalists & Media,Kahane Chai
199401100014,West Bank and Gaza Strip,31.502407,34.459743,,,Journalists & Media,Palestinians
199401100015,Italy,41.890961,12.490069,0.0,,Military,Nuclei Communist Combattants
199401110001,United Kingdom,54.607712,-5.95621,0.0,,Police,Irish Republican Army (IRA)
199401110002,United Kingdom,54.077313,-6.608787,0.0,,Military,Irish Republican Army (IRA)
199401110003,United Kingdom,54.607712,-5.95621,0.0,,Private Citizens & Property,Irish Republican Army (IRA)
199401110004,United Kingdom,54.607712,-5.95621,0.0,,Military,Irish Republican Army (IRA)
199401110005,Panama,8.994269,-79.518792,0.0,,Government (General),Unknown
199401110006,Algeria,36.763763,3.055413,4.0,,Police,Islamic Salvation Front (FIS)
199401110007,Algeria,35.947979,2.114687,1.0,,Government (General),Islamic Salvation Front (FIS)
199401110009,Georgia,41.458498,45.09132,0.0,,Utilities,Unknown
199401120001,United Kingdom,54.463367,-6.328597,0.0,,Police,Irish Republican Army (IRA)
199401120002,Peru,-11.967368,-76.978462,0.0,,Government (Diplomatic),Shining Path (SL)
199401120003,Spain,43.258434,-2.921819,0.0,,Government (Diplomatic),Basque Fatherland and Freedom (ETA)
199401120004,Turkey,39.067995,40.777644,1.0,,Military,Kurdistan Workers' Party (PKK)
199401120005,Turkey,37.586467,38.95651,2.0,,Military,Kurdistan Workers' Party (PKK)
199401120006,Turkey,37.253172,43.612234,15.0,,Police,Kurdistan Workers' Party (PKK)
199401120007,Turkey,37.885793,41.130124,3.0,,Private Citizens & Property,Unknown
199401130001,Somalia,0.495342,42.777893,0.0,,Government (Diplomatic),Unknown
199401130002,Colombia,5.21389,-72.86952,1.0,,Government (General),Revolutionary Armed Forces of Colombia (FARC)
199401130003,Egypt,27.440416,30.817812,3.0,,Police,Al-Gama'at al-Islamiyya (IG)
199401130004,India,13.08268,80.270718,0.0,,Airports & Aircraft,Unknown
199401130005,Iran,35.724533,51.40519,0.0,,Government (General),Unknown
199401130006,West Bank and Gaza Strip,31.444601,35.091068,,,Military,Hamas (Islamic Resistance Movement)
199401140001,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401140002,Russia,55.033333,82.916667,0.0,,Private Citizens & Property,Unknown
199401140003,Turkey,39.930771,32.76754,0.0,,Transportation,Kurdistan Workers' Party (PKK)
199401140004,Turkey,39.930771,32.76754,0.0,,Transportation,Kurdistan Workers' Party (PKK)
199401140005,Turkey,39.887522,33.755497,1.0,,Transportation,Kurdistan Workers' Party (PKK)
199401140006,Albania,42.0675,19.513056,1.0,,Government (General),Unknown
199401140010,West Bank and Gaza Strip,31.530243,35.094162,4.0,,Military,Hamas (Islamic Resistance Movement)
199401140013,Turkey,39.887522,33.755497,0.0,,Transportation,Kurdistan Workers' Party (PKK)
199401150001,Turkey,37.33083,42.184602,5.0,,Military,Kurdistan Workers' Party (PKK)
199401150002,Turkey,41.106178,28.689863,0.0,,Government (General),Unknown
199401150003,Turkey,41.106178,28.689863,0.0,,Government (General),Unknown
199401150004,Republic of the Congo,-4.225356,15.25106,0.0,,Police,Unknown
199401150005,France,48.856644,2.34233,0.0,,Terrorists/Non-State Militia,Unknown
199401150006,Turkey,,,21.0,,Private Citizens & Property,Kurdistan Workers' Party (PKK)
199401160001,United Kingdom,54.409928,-7.172562,0.0,,Military,Irish Republican Army (IRA)
199401160002,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401160003,United Kingdom,54.607712,-5.95621,0.0,,Business,Irish Republican Army (IRA)
199401160004,Turkey,36.99154,35.331051,1.0,,Police,Unknown
199401160005,Turkey,41.106178,28.689863,0.0,,Religious Figures/Institutions,Great Eastern Islamic Raiders Front (IBDA-C)
199401160006,Algeria,34.840752,0.149473,8.0,,Government (General),Islamic Salvation Front (FIS)
199401160007,Algeria,36.821899,5.766102,2.0,,Police,Unknown
199401160008,Algeria,36.763763,3.055413,3.0,,Police,Unknown
