eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
199601000001,France,41.591369,9.278311,0.0,,Business,Corsican Separatists
199601000002,France,41.591369,9.278311,0.0,,Business,Corsican Separatists
199601010001,Pakistan,24.891115,67.143311,4.0,,Military,Unknown
199601010002,Pakistan,24.891115,67.143311,1.0,,Military,Unknown
199601010003,Pakistan,24.891115,67.143311,0.0,,Transportation,Unknown
199601010004,Pakistan,24.891115,67.143311,5.0,,Private Citizens & Property,Unknown
199601010005,Pakistan,24.891115,67.143311,1.0,,Private Citizens & Property,Unknown
199601010006,Pakistan,24.891115,67.143311,1.0,,Private Citizens & Property,Unknown
199601010007,Pakistan,24.891115,67.143311,1.0,,Private Citizens & Property,Unknown
199601010008,Pakistan,24.891115,67.143311,1.0,,Private Citizens & Property,Unknown
199601010009,Pakistan,24.891115,67.143311,1.0,,Police,Unknown
199601010010,Pakistan,24.891115,67.143311,2.0,,Police,Unknown
199601010011,United States,32.6505,-85.380649,0.0,,Religious Figures/Institutions,Unknown
199601010012,United States,42.44321,-123.324639,0.0,,Abortion Related,Anti-Abortion extremists
199601010013,France,41.930607,8.742907,0.0,,Business,Corsican Separatists
199601010014,France,41.930607,8.742907,0.0,,Business,Corsican Separatists
199601010015,France,41.930607,8.742907,0.0,,Business,Corsican Separatists
199601010016,France,41.930607,8.742907,1.0,,Government (General),Corsican Separatists
199601010017,Egypt,27.929867,30.838026,0.0,,Police,Unknown
199601010018,United Kingdom,54.463367,-6.328597,1.0,,Private Citizens & Property,Direct Action Against Drugs (DADD)
199601020001,Netherlands,51.985103,5.89873,0.0,,Business,Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)
199601020002,Pakistan,24.891115,67.143311,3.0,,Unknown,Unknown
199601020003,Pakistan,24.891115,67.143311,0.0,,Government (General),Unknown
199601020004,France,41.67615,8.903952,0.0,,Utilities,Unknown
199601020005,Iraq,32.604393,44.007145,2.0,,Military,Unknown
199601030001,Pakistan,24.891115,67.143311,0.0,,Private Citizens & Property,Unknown
199601030002,Pakistan,24.891115,67.143311,0.0,,Private Citizens & Property,Unknown
